NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA/HORA;HORA REAL;DATA;DATA-HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LONG DEC;LAT DEC;LOCAL;VF;FER.;DES.;N:DE INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
GAROTA - SHRIMP;8;DLTIAO;DLTIAO;BRASIL;0;3,0;03/JAN/2019  15:00;12:00;03/JAN/2019;031500P/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;PROXIMIDADES DA PRAIA DA LAGOINHA - UBATUBA / SP;0;1;0;3860010191;FIBRA;
ORE MOATIZE;1;DLRUCA;DLRUCA;SINGAPURA;77,255;273,0;07/JAN/2019  06:16;4:16;07/JAN/2019;070616O/JAN/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;AVARIA DE MÁQUINAS;-23,06416667;-44,09722222;No final da curva do canal da ilha Guaiba, nas LAT 23°03.051'S LONG 044:05.750'W, encalhando ao sul da Boia n:7 - 2,19 milhas nauticas da ponta de canhota, Mangaratiba;0;0;0;SOLAS-IMO  9120803;AÇO;
BLUEFISH;2;CPCAJU;CPCAJU;BRASIL;3,3;7,36;04/JAN/2019  10:00;7:00;04/JAN/2019;041000P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;LITORAL SERGIPANO;0;0;0;4010825324;FIBRA;
CHAMPAGNE IX;8;CPSANT;CPSANT;BRASIL;8,87;11,95;01/JAN/2019  12:30;9:30;01/JAN/2019;011230P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-24,04083333;-46,33888889;"NAS PROXIMIDADES DA ILHA DAS PALMAS, NA MARCAÇÃO LAT 24:01'087 S /LONG 046:20'209 W;";0;0;0;4019965064;FIBRA;
AMILTONC CAMPOS;8;CPFTPR;CPFTPR;BRASIL;MIÚDA;6,0;07/JAN/2019  19:00;17:00;07/JAN/2019;071900O/JAN/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,50972222;-51,09972222;"Represa de Ilha Solteira, Rio Paraná, município de Suzanápolis-SP, na posição aproximada Lat 20°30'35.9""S e Long 51°05'59.1""W";1;0;0;405M2018024002;ALUMÍNIO;
MARIA BEATRIZ - COMTE ALEXANDRE;4;CPSTNA;CPSTNA;BRASIL;177;30,10;05/JAN/2019  17:30;14:30;05/JAN/2019;051730P/JAN/2019;BARCO;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;-0,00416667;-51,06416667;"Margem esquerda do Canal das Pedrinhas, nas proximidades do Posto de combustível Ipiranga, em Macapá, distante cerca de 7.2 MN da sede desta CP, posição aproximada de LAT. 00:00’15”S e LONG. 051:03’51”W, , Estado do Amapá;";0;0;0;022-07796-7;AÇO;
SERENDIPTY;1;DLANGR;DLANGR;BRASIL;9,23;10,45;10/JAN/2019  15:45;12:45;10/JAN/2019;101545P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,95277778;-44,39611111;"PROXIMIDADES DA MARINA PORTO BRACHUI, BRACUHI, ANGRA DOS REIS - RJ, MARCAÇÃO APROXIMADA LAT 22:57'09,9"" S LONG 44:23' 46,4"" W";0;0;0;4420235888;FIBRA;
CAPE TRADER;1;DLRUCA;DLRUCA;CHIPRE;89,510;290,52;08/JAN/2019  09:55;7:55;08/JAN/2019;080955O/JAN/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;AVARIA DE MÁQUINAS;-23,15638889;-43,95555556;Nas coordenandas de LAT 22° 58,650’S LONG 043° 56,800’W,  nas proximidades da boia 7 e 8 do canal principal e 1,30 milhas náuticas da ilha de Jaguanum, Mangaratiba-RJ;0;0;0;SOLAS-IMO  9469962;AÇO;
DA TAI;1;CPVITO;CPVITO;HONG KONG;22,566;195,5;11/JAN/2019  17:00;15:00;11/JAN/2019;111700O/JAN/2019;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;QUEDA DE PESSOA A BORDO;;;Munguba – PA / Vitória – ES / São João da Barra – RJ;1;1;0;SOLAS-IMO 9608386;AÇO;
COCOROESTE;2;CPSALV;CPSALV;BRASIL;6,0;6,95;12/JAN/2019  04:30;1:30;12/JAN/2019;120430P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;Na Boia de Amarração do Iate Clube da Bahia, no interior da Baía de Na Boia de Amarração do Iate Clube da Bahia, no interior da Baía de;0;0;0;281-890575-3;FIBRA;
A VITORIA;6;CPUMBA;CPUMBA;BRASIL;67;20,09;12/JAN/2019  01:30;22:30;12/JAN/2019;120130P/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-18,83305556;-57,66388889;"Rio Paraguai km 1547 Lat 18:49' 59.5""S e Long 057:39' 50.3""W;";1;0;0;NÃO INSCRITA;AÇO;
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;9,0;09/JAN/2019  11:00;8:00;09/JAN/2019;091100P/JAN/2019;CANOA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;"Rio Amazonas, município Alenquer-PA;";0;0;1;NÃO INSCRITA;MADEIRA;
COMANDANTE CIANCIULLI;8;CPSANT;CPSANT;BRASIL;349;32,29;12/JAN/2019  00:30;22:30;12/JAN/2019;120030O/JAN/2019;LANCHA;CABOTAGEM;A SER APURADO;MOTOR;INCÊNDIO;;;"QUANDO ATRACADO PARA MANUTENÇÃO NO PÍER DA EMPRESA ""SÊNIOR"", MUNICÍPIO DE GUARUJÁ";0;0;0;4010769092;AÇO;
SEM NOME;9;CFPVEL;CFPVEL;BRASIL;NÃO INSCRITA;6;13/JAN/2019  16:00;12:00;13/JAN/2019;131600Q/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;;;RIO MACHADO, CACOAL-RO;1;0;0;NÃO INSCRITA;ALUMÍNIO;
JUJUBAS - FELICIDADES;1;DLRUCA;DLRUCA;BRASIL;0,10;9,6;10/JAN/2019  10:45;8:45;10/JAN/2019;101045O/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,03500000;-44,15972222;"LAT 23:02'6.742""S e LONG 044:09'35,179""W, entre a ilha da Sororoca e a praia de Conceição de Jacarei, Município de Mangaratiba - RJ";0;0;0;3810514764;FIBRA;
SEM NOME;3;CPCEIO;AGNEDO;BRASIL;NÃO INSCRITA;4,97;12/JAN/2019  15:40;12:40;12/JAN/2019;121540P/JAN/2019;LANCHA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;EMBORCAMENTO;;;Rio São Francisco, entre os municípios de São Braz-AL e Porto Real do Colégio-AL;1;0;0;NÃO INSCRITA;ALUMÍNIO;
BEM AVENTURADO;1;CPVITO;CPVITO;BRASIL;6,70;8,16;14/JAN/2019  22:30;19:30;14/JAN/2019;142230P/JAN/2019;BARCO;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Durante regresso da embarcação para o cais de Santa Cruz, Aracruz, ES, a cerca de 04MN do Estaleiro JURONG;0;0;1;3410383778 M;MADEIRA;A SER APURADO
VAI K COLA;8;DLPREP;DLPREP;BRASIL;MIÚDA;5,0;16/JAN/2019  01:00;23:00;16/JAN/2019;160100O/JAN/2019;BOTE;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Rio Paraná, município de Rosana-SP;1;0;0;402M2012002288;ALUMÍNIO;
MR HERALD S II;1;DLCABO;DLCABO;BRASIL;16,70;10,94;17/JAN/2019  13:00;11:00;17/JAN/2019;171300O/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;;;PROXIMIDADES DO CLUBE COSTA AZUL, CANAL DO ITAJURU, CABO FRIO – RJ;0;1;0;3810281999;FIBRA;
TUZMAR;1;DLANGR;DLANGR;BRASIL;0;6,0;18/JAN/2019  19:30;16:30;18/JAN/2019;181930P/JAN/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-23,15305556;-44,32472222;CAIS DA PRAIA GRANDE DE ARAÇATIBA, ILHA GRANDE, ANGRA DOS REIS - RJ,  POSIÇÃO APROXIMADA LAT 23:09'11,1 S LONG 44:19'29,4 W.;0;1;0;401M2001287858;ALUMÍNIO;
ISKENDURUN M;5;CPGRAN;CPGRAN;PANAMÁ;197,340;176,0;20/JAN/2019  12:45;10:45;20/JAN/2019;201245O/JAN/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;TERMINAL YARA FERTILIZANTES;0;0;0;SOLAS-IMO 9206140;AÇO;
VICTORINHA MAR I;5;CPGRAN;CPGRAN;BRASIL;16,50;13,0;19/JAN/2019  18:00;16:00;19/JAN/2019;191800O/JAN/2019;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;;;CAIS DA EMPRESA LEAL SANTOS, RIO GRANDE-RS;0;0;0;3820089471;MADEIRA;NÃO POSSUI
VERUDA;1;CPVITO;CPVITO;CROÁCIA;30,092;189,90;19/JAN/2019  12:25;9:25;19/JAN/2019;191225P/JAN/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Enquanto o navio encontrava-se atracado no Pier 1-Norte do Porto de Tubarão, Vitória, ES;0;0;0;SOLAS-IMO 9585546;AÇO;
F ANDREIS V - SONICA III;8;CPAGUA;CPAGUA;BRASIL;47;22,35;16/JAN/2019  12:00;9:00;16/JAN/2019;161200P/JAN/2019;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;;;Baia de Guaratuba/PR;0;0;0;9620114264;AÇO;
RUNNER;4;CPBLEM;CPBLEM;BRASIL;MIÚDA;3,31;20/JAN/2019  09:30;6:30;20/JAN/2019;200930P/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;MORTE DE PESSOA;;;Quando navegava às margens do rio Murinim-Benfica, Município de Benevides-PA, Região não cartografada;1;0;0;021M2013001073;FIBRA;
TALITA;4;CFAREM;CFAREM;BRASIL;49;25,36;20/JAN/2019  13:00;10:00;20/JAN/2019;201300P/JAN/2019;BALSA;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;;;Rio Tapajós, nas proximidades de Cachoeira do Maranhão Grande,comunidade de São Luis do Tapajós, município de Itaituba-PA, cerca de 200MN de Santarém;3;0;1;230929087;AÇO;
SANTA CAROLINA;5;CPGRAN;CPGRAN;LIBÉRIA;35,035;199,92;22/JAN/2019  12:11;10:11;22/JAN/2019;221211O/JAN/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;;;ENTRE AS BÓIAS 74 E 75 DO CANAL DA FEITORIA;0;0;0;SOLAS-IMO 9800398;AÇO;
AMALFI III;1;DLANGR;DLANGR;BRASIL;30,10;15,46;19/JAN/2019  20:00;17:00;19/JAN/2019;192000P/JAN/2019;LANCHA;CABOTAGEM;PESCA;MOTOR;NAUFRÁGIO;;;PROXIMIDADES DO PÍER DO HOTEL DO FRANDE, ANGRA DOS REIS - RJ;0;0;0;3822930962;FIBRA;
CAPITÃO JACK;5;DLSFSL;DLSFSL;BRASIL;85;26,25;19/JAN/2019  13:40;13:40;19/JAN/2019;191340Z/JAN/2019;BARCO;INTERIOR;PASSAGEIRO;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;;;"Proximidades do Porto de Itapoá, Município de Itapoá - SC;";0;1;0;4430101370;MADEIRA;NÃO POSSUI
COMPANY;6;CFCUIA;CFCUIA;BRASIL;A SER APURADO;3,2;27/JAN/2019  15:00;11:00;27/JAN/2019;271500Q/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Lago da Barragem, Rio São Lourenço / Jucimeira-MT;1;0;0;A SER APURADO;FIBRA;
FOGUETE II;4;CPBLEM;CPBLEM;BRASIL;MIÚDA;3,56;05/JAN/2019  13:00;10:00;05/JAN/2019;051300P/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;MORTE DE PESSOA;;;Quando navegava no furo do Orlando, nas proximidades do porto do Arapari, em águas do Município de Barcarena-PA, Carta Náutica n:304/DHN;1;0;0;021M2018000387;FIBRA;
MARIA ANGELA;6;CPUMBA;CPUMBA;BRASIL;MIÚDA;5,3;21/JAN/2019  09:00;6:00;21/JAN/2019;210900P/JAN/2019;CANOA;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-15,92472222;-57,64638889;"Rio Paraguai Lat. 15°55'29.2""S Long.57°38'47.2""W, na Cidade de Cáceres - MT";1;1;0;482M2015003316;MADEIRA;
PIRATA II;3;CPSSOA;CPSSOA;BRASIL;19,90;17,7;22/JAN/2019  21:00;18:00;22/JAN/2019;222100P/JAN/2019;SAVEIRO;INTERIOR;PASSAGEIRO;MOTOR;INCÊNDIO;;;RIO PARAÍBA, MUNICÍPIO DE CABEDELO-PB;0;0;0;3820104925;MADEIRA;NÃO POSSUI
WALDIZÃO - GOIANIA;4;CPBLEM;CPBLEM;BRASIL;41,70;16,55;19/JAN/2019  14:00;11:00;19/JAN/2019;191400P/JAN/2019;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;;;Quando encontrava-se atracado a contrabordo da balsa no porto da empresa, situado na orla fluvial de Icoaraci, Distrito de Belém-PA, Carta Náutica n:304/DHN;0;0;0;60019794;AÇO;
MUSA DO MAR;5;DLSFSL;DLSFSL;BRASIL;1,4;6,15;26/JAN/2019  19:15;19:15;26/JAN/2019;261915Z/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;;;Praia da Enseada, Município de São Francisco do Sul, SC;0;1;0;4420223898;FIBRA;
CAMILA;8;CPSANT;CPSANT;BRASIL;MIÚDA;4,30;13/JAN/2019  16:00;14:00;13/JAN/2019;131600O/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;QUANDO NAVEGANDO NA BARRAGEM DE FURNAS PRÓXIMO DA CACHOEIRA LAGOA AZUL, MUNICÍPIO DE CAPITÓLIO- MG;0;0;0;405M2017006756;FIBRA;
SEM NOME;8;CPFOZU;CPFOZU;BRASIL;NÃO INSCRITA;3,3;26/JAN/2019  11:32;9:32;26/JAN/2019;261132O/JAN/2019;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;SEM PROPULSÃO;NAUFRÁGIO;;;Rio Paraná/Foz do Iguaçu-PR;1;0;0;NÃO INSCRITA;MADEIRA;A SER APURADO
BRUTUS 4;2;CPSALV;CPSALV;BRASIL;2,5;6,5;26/JAN/2019  16:10;13:10;26/JAN/2019;261610P/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-12,90805556;-38,54055556;"Na derrota da Ilha de Itaparica para a Marina do Bomfim , LAT 12:54'29""S e LONG 038:32'26""W, nterior da Baía de Todos os Santos Salvador-BA";0;0;0;281-26645-;FIBRA;
PESCARE;1;CPRIOJ;CPRIOJ;BRASIL;5,8;9,15;29/JAN/2019  16:30;14:30;29/JAN/2019;291630O/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,03250000;-43,30055556;"LAT 23:01' 57,4""S e LONG 043:18' 02,2""W, nas proximidades das Ilhas  Tijucas, Rio de Janeiro-RJ";0;0;0;4030205399;FIBRA;
OPEN SEA II;8;CPAGUA;CPAGUA;BRASIL;5,0;8,51;26/JAN/2019  12:00;9:00;26/JAN/2019;261200P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;"Rio Itiberê, Paranaguá/PR;";0;4;0;4211469495;FIBRA;
SEM NOME;8;CPFTPR;CPFTPR;BRASIL;NÃO INSCRITA;A SER APURADO;25/JAN/2019  14:00;12:00;25/JAN/2019;251400O/JAN/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-20,18444444;-51,01833333;rio Paraná, nas proximidades da praia de Ipanema, município de Rubinéia-SP, na posição aproximada Lat 20:11' 04.6”S e Long 051:01' 06.6”W;1;0;0;NÃO INSCRITA;A SER APURADO;NÃO POSSUI
A SER A - A SER APURADO;9;CPNAUS;AGACRE;BRASIL;A SER APURADO;A SER APURADO;12/JAN/2019  00:00;20:00;12/JAN/2019;120000Q/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;RIO ACRE, REGIÃO DA GAMELEIRA, RIO BRANCO-A;1;0;0;A SER APURADO;FIBRA;
4 IRMÃOS VI;9;CPNAUS;CPNAUS;BRASIL;3;7,5;10/JAN/2019  08:00;4:00;10/JAN/2019;100800Q/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;COLISÃO;;;RIO NEGRO, PROXIMIDADES DO PORTO CHIBATÃO, MANAUS-AM;0;0;0;11443421;ALUMÍNIO;
CORAÇÃO DE MÃE II- A SER APURADO;9;CPNAUS;AGNEPE;BRASIL;16;23,0;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;OUTRAS EMBARCAÇÕES;INTERIOR;CARGA;MOTOR;ABALROAMENTO;;;COMUNIDADE RURAL DE GRANJA ENVIRA-AM;0;0;2;60026677;MADEIRA;NÃO POSSUI
SEC MUNICIPAL DE SAÚDE DE BVR;9;CPNAUS;CPNAUS;BRASIL;1,8;7,3;04/JAN/2019  24:00;20:00;04/JAN/2019;042400Q/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;EXPLOSÃO;-2,97138889;-57,59083333;"Paraná DO RAMOS, EM FRENTE AO POSTO SÃO JOÃO, NO NO MUNICÍPIO DE BOA VISTA DO RAMOS - AM, LAT 02:58' 17.5""S LONG 057:35' 27.4""W";0;1;0;120766299;ALUMÍNIO;
ALEXANDRE S;1;DLCABO;DLCABO;BRASIL;30;13,8;30/JAN/2019  16:30;14:30;30/JAN/2019;301630O/JAN/2019;BARCO;INTERIOR;PASSAGEIRO;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;;;ARRAIAL DO CABO / SEM ESCALA / ARRAIAL DO CABO;0;1;0;3840160162;MADEIRA;NÃO POSSUI
OSTRA - LUARA;1;CPRIOJ;AGPRTI;BRASIL;1,78;6,0;29/JAN/2019  16:00;14:00;29/JAN/2019;291600O/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;;;"NAS PROXIMIDADES DA ILHA DO ARAÚJO E PRAIA GRANDE;";0;0;0;3868897411;FIBRA;
A ORCA;2;CPSALV;CPSALV;BRASIL;MIÚDA;5,6;30/JAN/2019  07:50;4:50;30/JAN/2019;300750P/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ADERNAMENTO;-12,97361111;-38,51694444;"Na área de fundeio próximo ao Forte de São Marcelo, no interior da  Baía de Todos os Santos, nas coordenadas de Lat 12°58'25""S e Long 038°31'01"" W, no município de Salvador-BA;";0;0;0;281.890253-3;FIBRA;
MINHA PRINCESA;3;CPCEIO;AGNEDO;BRASIL;0,50;5,25;27/JAN/2019  16:30;13:30;27/JAN/2019;271630P/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Rio São Francisco, entre os municípios de Propriá-SE e Porto Real do Colégio-AL;0;0;0;2420128397;FIBRA;
AKÁTIA - HUGUINHO;3;CPCEIO;AGNEDO;BRASIL;3,90;16,47;27/JAN/2019  17:15;14:15;27/JAN/2019;271715P/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;;;Rio São Francisco, entre os municípios de Propriá-SE e Porto Real do Colégio-AL;0;0;0;2420126980;MADEIRA;NÃO POSSUI
ALICE;3;CPSSOA;CPSSOA;BRASIL;12,50;11,77;26JAN/2019  09:00;9:00;26JAN/2019;260900/JAN/2019;BOTE;INTERIOR;PESCA;MOTOR;MORTE DE PESSOA;;;PRAIA DO SEIXAS - JOÃO PESSOA-PB;1;0;0;1810057868;MADEIRA;NÃO POSSUI
ANA BEATRIZ IV;4;CPSTNA;CPSTNA;BRASIL;857;50,0;15/JAN/2019  09:30;6:30;15/JAN/2019;150930P/JAN/2019;NM DE PASSAGEIRO/CARGA GERAL;INTERIOR;PASSAGEIRO E CARGA;MOTOR;MORTE DE PESSOA;;;Rio Amazonas, na travessia da “bacia do Vieira;1;0;0;023-91434-9;AÇO;
CAROLINA;8;CPSANT;CPSANT;BRASIL;MIÚDA;4,90;26/JAN/2019  12:00;10:00;26/JAN/2019;261200O/JAN/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;;QUANDO NAVEGANDO NO RIO MOGI GUAÇU, MUNICÍPIO DE PIRASSUNUNGA- SP;0;0;0;405M2017016379;ALUMÍNIO;
SAPHIRA - SEM NOME;9;CPNAUS;AGITAC;BRASIL;44;23,0;23/JAN/2019  10:12;6:12;23/JAN/2019;231012Q/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;-3,14916667;-58,44861111;"MARGEM ESQUERDA DO RIO AMAZONAS, NAS PROXIMIDADES DO PORTO IP4, LAT 03° 08'57""S E LONG 058°26'55""W, CIDADE DE ITACOATIARA-AM";0;0;1;90020006;ALUMÍNIO;
FERNÃO DE MAGALHÃES;1;DLRUCA;DLRUCA;BRASIL;42,564;228,0;04/FEV/2019  19:45;17:45;04/FEV/2019;041945O/FEV/2019;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESCADAS DE PORTALÓ;;;Proximidades das boias 06 e 08 do Canal Derivativo - do Porto de Itaguaí, Mangaratiba-RJ;1;0;0;SOLAS-IMO 9603221;AÇO;
CARLOS BRUNO;5;CPGRAN;CPGRAN;BRASIL;A SER APURADO;22,6;29/JAN/2019  12:00;10:00;29/JAN/2019;291200O/JAN/2019;BARCO;CABOTAGEM;PESCA;MOTOR;MORTE DE PESSOA;-5,98444444;-50,09083333;"LAT 29°59'04""S LONG 050°05'27""W";1;0;0;4430114111;MADEIRA;A SER APURADO
JULIANA VI;5;CPGRAN;CPGRAN;BRASIL;30,0;16,5;02/FEV/2019  05:00;3:00;02/FEV/2019;020500O/FEV/2019;BARCO;CABOTAGEM;PESCA;MOTOR;NAUFRÁGIO;-8,23500000;-52,17527778;"LAT 32°14'06""S LONG 052°10'31""W, 4:SECÇÃO DA BARRA, RIO GRANDE-RS";0;0;0;4410196119;MADEIRA;A SER APURADO
